Line 1 getShape : 49 20
Line 2 columns : 1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
Line 3 printHead 100 100
1x0 1x1 1x2 1x3 1x4 1x5 1x6 1x7 1x8 1x9 1x10 1x11 1x12 1x13 1x14 1x15 1x16 1x17 1x18 1x19
16 99 56 57 26 21 70 16 71 95 25 49 16 29 46 56 63 70 8 37
28 37 28 54 54 37 46 88 96 49 72 8 35 18 86 20 93 34 86 31
91 37 24 50 2 86 63 82 52 41 76 92 54 61 59 61 47 69 87 82
67 97 18 77 34 20 14 14 88 12 4 60 30 84 4 74 29 29 90 47
66 62 27 94 59 0 69 67 32 12 43 38 13 60 84 51 71 7 73 70
22 78 33 64 35 61 44 58 81 88 33 84 78 94 64 22 12 99 50 12
19 5 45 59 14 67 70 97 4 44 13 3 29 97 50 54 14 96 10 78
38 90 83 77 32 85 15 42 71 69 55 49 23 38 52 1 43 88 10 36
64 26 55 58 98 88 19 53 34 62 16 36 93 51 54 2 10 16 71 17
27 17 51 40 20 95 10 34 26 82 74 65 31 76 9 48 93 95 20 90
7 31 86 33 7 85 18 75 85 20 42 61 85 96 33 23 31 22 38 95
23 26 24 93 35 78 14 66 31 40 69 83 28 74 26 79 34 7 14 64
17 5 1 39 30 79 15 99 19 34 81 79 56 26 79 52 1 96 0 81
45 71 99 66 40 21 70 61 97 21 58 4 55 47 72 68 87 84 60 75
73 46 9 57 85 72 59 98 90 4 73 8 80 1 24 56 86 45 16 7
76 25 80 42 34 26 10 67 36 34 42 35 89 12 41 31 99 61 58 79
47 16 98 93 72 81 44 63 48 32 67 69 33 64 15 91 95 93 33 97
17 50 49 80 35 18 86 28 31 73 19 65 97 2 26 78 0 10 49 97
38 95 82 92 22 50 39 98 6 95 10 43 8 24 12 18 32 17 58 68
44 61 81 73 45 24 61 74 47 15 39 66 36 33 43 30 85 4 58 2
10 56 53 42 55 95 44 70 46 42 75 59 9 32 56 76 15 62 24 80
99 26 50 86 78 90 75 70 20 28 58 33 68 32 74 7 29 39 30 5
57 40 40 24 8 85 21 88 60 92 92 7 21 21 29 29 96 34 17 90
44 22 32 15 83 9 30 21 73 63 11 57 30 48 52 60 53 91 86 92
6 82 64 52 23 31 75 51 74 61 42 73 86 85 82 75 0 54 51 39
58 86 38 74 91 74 95 26 20 97 68 35 58 52 32 55 99 51 65 34
8 99 63 58 91 60 68 1 36 80 9 20 28 9 53 69 7 69 87 0
0 11 27 39 51 0 33 48 2 39 46 27 13 1 75 50 52 78 8 12
